,C2,C3_norm,C7_norm,T5prime_norm,T2prime_norm,Y1
321,1,0.12024889781718921,0.00733293912605188,1.287930807878071,1.287930807878071,1
322,0,0.18664811643957427,2.5504450895212427,0.5128615718881588,0.5128615718881588,0
323,1,2.0809387044625165,0.16445038991374086,0.3098590170603655,0.3098590170603655,1
324,0,0.467781121951714,2.0516066358744,1.2187738708655722,1.2187738708655722,1
325,0,0.26322043576945087,0.46592798587350814,0.6680481236815894,0.6680481236815894,1
326,0,0.5328815125411135,0.806110351614958,0.3203017788326883,0.3203017788326883,0
327,1,0.6133776336762611,0.8891307897168246,2.648797521803274,2.648797521803274,0
328,1,0.7958813413199387,1.3908166210115553,0.7240884122994966,0.7240884122994966,1
329,1,0.742388124645471,0.12862183864194351,0.10079546892898128,0.10079546892898128,0
330,0,1.9127553446403893,0.9540122701656227,2.4101300171114284,2.4101300171114284,1
331,0,0.7702384646345074,0.08359156983229886,0.2915889593496635,0.2915889593496635,0
332,0,0.6647102480276941,0.3301073352948582,0.9185003079106815,0.9185003079106815,0
333,0,0.6970205182793054,0.9354216788378643,1.5220476806032202,1.5220476806032202,1
334,1,0.7380523135225238,0.5108903566391306,0.6155468571978809,0.6155468571978809,0
335,1,0.4712354379190833,0.281658368233367,1.1142228994488947,1.1142228994488947,0
336,1,0.5032312303512517,0.6936786439521404,0.5239197929250792,0.5239197929250792,1
337,1,0.5904351165320519,0.4699327162008066,0.7897133294500757,0.7897133294500757,0
338,1,0.06391355120173839,0.3417123406896393,1.6324358776053238,1.6324358776053238,1
339,1,0.31774248292419033,0.4040405331819763,1.0255320395826162,1.0255320395826162,0
340,1,0.7702384646345074,0.46736873144109653,0.791524338458633,0.791524338458633,1
341,1,0.6847772405886847,0.18090031716673347,0.029840586556489416,0.029840586556489416,1
342,1,0.6177413491173277,0.09645292427118883,0.598496427151194,0.598496427151194,0
343,1,0.7821743490448485,0.5013900945785619,1.008077806816424,1.008077806816424,0
344,1,0.5093452744928939,0.1308082347107432,1.7007298660230024,1.7007298660230024,0
345,0,0.3601194573237342,1.0344800737561102,0.21842744411159928,0.21842744411159928,1
346,1,0.8529606004108121,1.064796858838973,1.1769184765218719,1.1769184765218719,0
347,1,0.6372932989557264,1.8888708267011995,1.9265397359516983,1.9265397359516983,1
348,1,0.40994743395398336,0.6341956701516761,1.880449400815603,1.880449400815603,1
349,1,0.7891828861023195,2.339304463660136,0.21865116815174687,0.21865116815174687,1
350,1,0.5706738894677997,0.8967650407201474,0.27868226572980187,0.27868226572980187,1
351,1,1.094381902521347,0.00733293912605188,0.743165319403409,0.743165319403409,1
352,1,0.8525605036029883,0.4243257233760664,0.6947742068477271,0.6947742068477271,0
353,0,0.5407026312450895,0.1150011516520038,0.28225433470931693,0.28225433470931693,1
354,1,1.9568647722519221,1.9067756814424084,2.2759849490219275,2.2759849490219275,0
355,1,2.0809387044625165,1.345091111021963,0.8303200939460189,0.8303200939460189,1
356,1,0.2246220060311903,1.4727830938318744,1.1231895231491504,1.1231895231491504,1
357,1,0.6133776336762611,0.17382928065322126,0.6525885197040708,0.6525885197040708,0
358,1,0.7264882551041622,0.27530532059471524,0.889961004359426,0.889961004359426,1
359,1,0.5681123041094267,0.1585682642945699,1.2295263918359924,1.2295263918359924,0
360,1,0.7335536754284843,0.5673264314122215,0.8766342811012705,0.8766342811012705,1
361,1,0.5951767217696758,0.7771375288021969,1.363059823699574,1.363059823699574,1
362,0,1.9615317794801885,0.00733293912605188,1.0698936370183671,1.0698936370183671,1
363,1,0.515366395248328,1.1554477876744718,0.4244337438370022,0.4244337438370022,1
364,0,0.36698253530873853,0.8292992842074062,0.1778676026535173,0.1778676026535173,1
365,0,0.6815781765104912,0.11244875903177093,0.7953933355210626,0.7953933355210626,1
366,1,0.6424311970437736,0.20453047927131607,0.4000140296160887,0.4000140296160887,1
367,1,0.15273481839242248,0.5473551331686664,1.3044428935620864,1.3044428935620864,0
368,0,0.7747058118284025,2.5047621238564397,0.09201543202461891,0.09201543202461891,1
369,1,0.8452587619145879,1.8780510213815922,0.37325209137177257,0.37325209137177257,0
370,1,0.6044283304979801,0.06781678480436024,0.5412320683963239,0.5412320683963239,0
371,1,0.6304003387775298,0.43956442743247187,2.1947353744164753,2.1947353744164753,0
372,1,0.5032312303512517,0.012918374241210293,0.15266183271546055,0.15266183271546055,0
373,1,2.0657749837096824,0.00733293912605188,1.646707370108175,1.646707370108175,0
374,1,1.9568647722519221,1.422950513777468,1.512401902373704,1.512401902373704,1
375,1,0.8022242203713009,1.0242068414061738,1.1422570972856854,1.1422570972856854,0
376,1,2.08091437143406,0.039198456984400096,1.2818671900049954,1.2818671900049954,1
377,1,0.515366395248328,0.044901229151292785,1.178174957763246,1.178174957763246,1
378,1,0.850287667944856,0.3852987839816587,0.3209618858237458,0.3209618858237458,1
379,1,0.3601194573237342,0.8249383189939187,0.7224076875026734,0.7224076875026734,0
380,1,0.6647102480276941,2.1726522485423874,0.5401672659778758,0.5401672659778758,1
381,1,0.40994743395398336,0.32502776620026036,0.880596420913878,0.880596420913878,0
382,0,0.5441108116662811,0.5907338213570384,1.1052555382406712,1.1052555382406712,0
383,1,0.3682661465968793,0.16450961755124058,0.045357964465951216,0.045357964465951216,1
384,1,0.4907207153844391,0.6086071097129979,0.182133895467244,0.182133895467244,0
385,1,0.5807154197632419,1.328335337664588,1.3533034117221172,1.3533034117221172,0
386,1,0.5807154197632419,0.4080894692269392,1.503067608578622,1.503067608578622,0
387,1,2.0809387044625165,1.9769890344485637,1.6599424773940454,1.6599424773940454,1
388,1,0.056623053901878787,0.2572367589714255,0.3147176442119719,0.3147176442119719,0
389,0,0.7544718795601331,0.27112616882247903,0.016292682569852165,0.016292682569852165,1
390,1,0.2909858354146032,0.41143088679594714,0.09750459585874281,0.09750459585874281,0
391,1,2.0805802789931636,1.1388474083233682,0.01618317075066347,0.01618317075066347,1
392,1,0.2909858354146032,1.0279828837870622,1.0439197117465653,1.0439197117465653,1
393,1,1.933623884952789,0.00733293912605188,0.9273623209245119,0.9273623209245119,1
394,0,0.5904351165320519,0.5179544567783518,0.8516723313713326,0.8516723313713326,0
395,1,1.793508097634652,0.284116098068998,0.4393960742441758,0.4393960742441758,0
396,1,0.8529602567696158,0.11016594511001754,0.7063440707121332,0.7063440707121332,0
