,C1,C4,C5,C6,T2,T5,C3_impute,C7_impute,C3`,C5`,C6`,T1prime,T3prime,T4prime,S1prime,S2prime,S3prime,Y1,Y2
11,99.0,0.015487112031121256,17826801.0,7000000.0,5788.0,385.0,-398.1,0.32,0,2.5466858571428572,0.0,0.5454545454545454,0.8984105044920525,0.06651693158258466,0.005010366275051832,0.007083621285418107,0.007083621285418107,1,0
12,126.0,0.019731083271667373,15889841.0,3750000.0,5732.0,259.0,0.27,26.499,0,4.237290933333333,0.06666666666666667,0.6844660194174758,0.8658408932309839,0.04518492672714585,0.00366364270760642,0.007501744591765527,0.007501744591765527,0,1
13,140.0,-0.0063156046994000984,14310258.0,3700000.0,10562.0,726.0,-2.19,0.074,0,3.867637297297297,0.08695652173913043,0.5552884615384616,0.9311683393296724,0.06873698163226662,0.0076690020829388375,0.01117212649119485,0.01117212649119485,0,1
14,488.0,0.023274685510332935,50025520.0,13750000.0,18633.0,909.0,0.18,166.896,0,3.6382196363636363,0.0,0.6089743589743589,0.8839693017764182,0.048784414748027694,0.005259485858423228,0.013739065099554554,0.013739065099554554,1,0
15,233.0,-0.08545458841445729,90015707.0,10000000.0,18142.0,649.0,0.17,510.192,0,9.0015707,0.0,0.7047781569965871,0.8699151140998788,0.03577334362253335,0.0054018300077169,0.005071105721530151,0.005071105721530151,1,0
16,125.0,0.0002548563257563511,24333033.0,11800000.0,6456.0,336.0,0.31,571.192,0,2.062121440677966,0.0,0.5204460966542751,0.8808859975216853,0.05204460966542751,0.0055762081784386614,0.005111524163568773,0.005111524163568773,0,0
17,77.0,-0.0063156046994000984,23087591.0,10000000.0,11322.0,603.0,0.14,363.465,0,2.3087591,0.0,0.6317135549872123,0.8469351704645822,0.05325914149443561,0.006359300476947536,0.011835364776541247,0.011835364776541247,1,0
18,92.0,0.036830796877746964,63369555.0,8300000.0,13516.0,523.0,1.18,170.27,1,7.634886144578314,0.0,0.6117424242424242,0.9197247706422018,0.03869488014205386,0.003995264871263687,0.005548978987866233,0.005548978987866233,1,0
19,207.0,-0.01269239188194706,19045933.0,5000000.0,11684.0,429.0,0.63,132.5,0,3.8091866,0.125,0.521484375,0.8720472440944882,0.03671687778158165,0.004450530640191715,0.0066757959602875725,0.0066757959602875725,0,1
20,174.0,0.045262646375410436,31051055.0,6550000.0,13801.0,768.0,-1.43,107.462,0,4.740619083969466,0.0,0.6257928118393234,0.9057314687341497,0.05564814143902616,0.0047822621549163105,0.009854358379827548,0.009854358379827548,1,0
21,78.0,0.05404000937680397,45201120.0,10200000.0,14315.0,675.0,0.67,1707.564,0,4.431482352941177,0.06666666666666667,0.5972927241962775,0.867481662591687,0.04715333566189312,0.003981837233670974,0.005099545930841775,0.005099545930841775,0,1
22,68.0,0.002545640136170962,11894956.0,4000000.0,6569.0,308.0,-0.86,64.606,0,2.973739,0.0,0.5340501792114696,0.8964834830263358,0.04688689298218907,0.004414674988582737,0.014157405997868777,0.014157405997868777,0,0
