,C2,C3`,C3_norm,T2prime_norm,T5prime_norm,Y2
0,1,1,0.8525441776600592,0.3103339962813614,0.3103339962813614,1
1,0,0,1.422466121937991,0.09012615036528056,0.09012615036528056,0
2,1,0,0.9594494599616635,1.3166978082348773,1.3166978082348773,0
3,1,0,0.4823189008875209,1.2993245218304397,1.2993245218304397,0
4,1,1,0.5441108116662811,0.5004410501848612,0.5004410501848612,1
5,1,1,0.5385402729057712,0.9872303345622482,0.9872303345622482,0
6,1,0,1.6428695896338774,1.1373377518008219,1.1373377518008219,0
7,0,0,0.24095030882337132,0.5305948864773157,0.5305948864773157,0
8,1,0,0.052323586028409266,1.3350428831269445,1.3350428831269445,0
9,1,1,0.8329304813432228,0.2536155266475364,0.2536155266475364,0
10,1,0,2.0809387044625165,1.9218999046026561,1.9218999046026561,0
11,1,1,0.638489118521472,1.0016868170858158,1.0016868170858158,1
12,1,0,1.8324064345496844,2.1971385859758965,2.1971385859758965,1
13,1,1,0.5998408011507358,0.4662178169590191,0.4662178169590191,0
14,1,1,0.5951767217696758,2.5123807208721294,2.5123807208721294,0
15,1,1,0.6538594644581582,0.0019640152291324126,0.0019640152291324126,0
16,1,1,0.5807154197632419,0.17261201295204115,0.17261201295204115,0
17,1,1,0.8159431214642252,2.024159760166396,2.024159760166396,0
18,1,1,0.7444966629535748,2.3525964196961135,2.3525964196961135,1
19,1,0,1.208575004933034,0.5026932213215062,0.5026932213215062,0
20,1,1,0.7525503679472166,0.7063237780572834,0.7063237780572834,1
21,1,0,0.40994743395398336,0.7459382969395529,0.7459382969395529,0
22,1,0,2.0809387044625165,0.9246610992657256,0.9246610992657256,0
23,1,0,1.1587558092380956,0.4129745257366833,0.4129745257366833,0
24,1,0,2.0809387044625165,0.8012880759728992,0.8012880759728992,0
25,1,1,0.6783221044493287,0.7417363480387356,0.7417363480387356,0
26,1,0,0.16334112526437228,0.26350610874364744,0.26350610874364744,1
27,1,1,0.7138178640621382,0.49571257981496936,0.49571257981496936,0
28,1,0,0.5114699695159399,0.041173119183714094,0.041173119183714094,0
29,1,1,0.6177413491173277,0.024351907638893958,0.024351907638893958,0
30,1,0,0.07539689421324626,0.6300049032446965,0.6300049032446965,1
31,0,1,0.5757353726307153,0.23077031924093028,0.23077031924093028,0
32,1,0,2.0809383996801127,0.5410858868821765,0.5410858868821765,1
33,1,0,0.4907207153844391,0.48754071147648254,0.48754071147648254,0
34,1,1,0.5856150084313262,0.2443715039783724,0.2443715039783724,1
35,1,0,0.5032312303512517,0.7001239629571028,0.7001239629571028,1
36,1,0,0.10757744463449104,0.7109069170376122,0.7109069170376122,1
37,1,1,0.8290124385785772,1.1522805860697116,1.1522805860697116,1
38,1,1,0.527133576874178,0.3075662458353445,0.3075662458353445,1
39,1,1,0.7164448735766153,0.11448787378762353,0.11448787378762353,1
40,1,1,0.8078732997353522,0.8587219855160515,0.8587219855160515,0
41,1,1,0.5549910646496456,0.3964658058494619,0.3964658058494619,1
42,1,0,0.5032312303512517,0.581182996605204,0.581182996605204,0
43,1,0,0.4970233462522051,0.3568853812459905,0.3568853812459905,0
44,1,0,1.1962660112972356,1.3418425050282208,1.3418425050282208,0
45,1,0,0.39205831344903286,0.3639779118710875,0.3639779118710875,1
46,1,0,0.6139890520258523,0.7525865860487858,0.7525865860487858,0
47,1,0,2.0809384447440804,0.7096986004188492,0.7096986004188492,0
48,1,0,0.28184311562594044,0.26207153108261183,0.26207153108261183,1
49,1,0,0.3103796171816989,1.3266229828135991,1.3266229828135991,0
50,1,0,2.0809387044625165,0.8477943132690845,0.8477943132690845,0
51,1,1,0.742388124645471,1.79298461583999,1.79298461583999,1
52,1,0,1.2803016900801139,0.3819204887240169,0.3819204887240169,0
53,1,1,0.6682031148496494,1.760015662297481,1.760015662297481,1
54,1,0,2.0809387044623855,1.786163265297965,1.786163265297965,0
55,1,1,0.8529606004108121,2.715454570206334,2.715454570206334,1
56,0,0,1.4326235556825535,0.5472774796097295,0.5472774796097295,0
57,1,1,0.6133776336762611,1.1243624322621266,1.1243624322621266,1
58,1,0,1.8086935238149464,0.5265894195804696,0.5265894195804696,0
59,1,0,0.4907207153844391,0.12849265335383242,0.12849265335383242,1
