,C2,C3`,C5,C3_impute,S3prime,Y1,C2,C3`,C4,C5,S3prime,Y2
20,1,0,-0.1793306571206042,-0.009456757624008131,0.5857063389695198,1,1,0,1.1408144792017019,-0.1793306571206042,0.5857063389695198,0
21,1,1,-0.04515301250620987,0.0038116791711700964,-1.8856215462306058,0,1,1,1.404459173483132,-0.04515301250620987,-1.8856215462306058,1
22,1,0,-0.36097789646686546,-0.005855324779602613,1.1399524340955574,0,1,0,-0.14227157395278292,-0.36097789646686546,1.1399524340955574,0
23,1,0,-0.29091780209941764,-0.18769609190590233,1.329715560029477,1,1,0,0.8574190192905838,-0.29091780209941764,1.329715560029477,0
24,1,0,-0.27462111540657286,-0.009204025494576164,-0.24792322167289366,0,1,0,-0.27117959454436386,-0.27462111540657286,-0.24792322167289366,0
25,1,0,-0.25902777236861474,-0.12173300612415913,1.2914710497844768,1,1,0,-0.33761701939523997,-0.25902777236861474,1.2914710497844768,0
26,1,1,-0.22808568674809054,0.001979371232788341,2.10359673325768,1,1,1,-1.3335689204886791,-0.22808568674809054,2.10359673325768,0
27,1,0,0.20768522019997745,-0.003012088323492992,-0.13692997786480954,0,1,0,0.5551270113384839,0.20768522019997745,-0.13692997786480954,1
28,1,1,-0.090648450664784,0.0027375676210842394,-0.5491635317586585,1,1,1,0.8518514534480309,-0.090648450664784,-0.5491635317586585,0
29,1,0,-0.22140276990589486,-0.006297606006108554,0.656646310647811,1,1,0,-0.6977415678578692,-0.22140276990589486,0.656646310647811,0
30,1,1,-0.13557492132871035,0.000968442715060476,-0.5441851750734366,1,1,1,-1.3335689204886791,-0.13557492132871035,-0.5441851750734366,0
31,1,0,0.05340616887257266,-0.003517552582356925,-1.6715675349215418,0,1,0,-1.2539599797738938,0.05340616887257266,-1.6715675349215418,1
32,0,1,-0.3680419234816785,0.000399795423838552,0.5688748226362637,1,0,1,0.4034795598120954,-0.3680419234816785,0.5688748226362637,0
33,1,0,0.4572228497307369,-0.05753904524843971,1.0484826534791387,0,1,0,2.337305736936596,0.4572228497307369,1.0484826534791387,1
34,1,0,-0.2643274899928381,-0.0005479500615313214,0.5639639160838589,0,1,0,0.2751514278156656,-0.2643274899928381,0.5639639160838589,0
35,1,1,-0.3121069625414044,0.0005261614885545351,-0.6492420998891443,0,1,1,-0.5906733188706811,-0.3121069625414044,-0.6492420998891443,1
36,1,0,0.06395585905457295,-0.0004215839968153383,0.15132348543126345,0,1,0,1.47759111322895,0.06395585905457295,0.15132348543126345,1
37,1,0,0.021331695510917514,-0.0044652980677267985,-1.2086442455708442,0,1,0,0.26890895956602406,0.021331695510917514,-1.2086442455708442,1
38,1,1,-0.24447448620789322,0.00842404053330348,1.627094678014699,0,1,1,0.8886320470218363,-0.24447448620789322,1.627094678014699,1
39,1,1,-0.23569767757433005,-0.00016885186738337205,-0.8194791943866419,0,1,1,1.4932154526620702,-0.23569767757433005,-0.8194791943866419,1
40,1,1,1.5130859895101356,0.002800750653442231,-1.5149365014009495,0,1,1,-0.0784738789071055,1.5130859895101356,-1.5149365014009495,1
41,1,1,-0.28763478891603295,0.0064021834978477505,0.12698263276271446,1,1,1,-0.8194549675305121,-0.28763478891603295,0.12698263276271446,0
42,1,1,-0.2847594937315044,0.0001470632944065857,0.8652466769731548,0,1,1,0.6600456564624835,-0.2847594937315044,0.8652466769731548,1
43,1,0,-0.06689126517420695,-0.0004215839968153383,-0.04556367869589246,1,1,0,-0.4115019165269743,-0.06689126517420695,-0.04556367869589246,0
44,1,0,-0.18037410872406806,-0.0004847670291733298,-0.12092623524461654,1,1,0,-0.24295408929702178,-0.18037410872406806,-0.12092623524461654,0
45,1,0,-0.3255192508732455,-0.00939357459165014,0.44170757792549986,1,1,0,-0.36410837184632755,-0.3255192508732455,0.44170757792549986,0
46,1,0,0.23875095730095572,-0.0014325125145432033,-1.2946863307858967,0,1,0,0.6316082887345505,0.23875095730095572,-1.2946863307858967,1
47,1,0,-0.16133933826710659,-0.0067398872326144945,1.2091943214427696,1,1,0,-0.13706351539911943,-0.16133933826710659,1.2091943214427696,0
48,1,0,-0.144158562453966,-0.05804450950730364,2.159684501672594,1,1,0,-0.8934840770703417,-0.144158562453966,2.159684501672594,0
49,1,0,-0.17412151610230853,-0.0022538919351970934,0.011006761235598536,0,1,0,0.8233989604224072,-0.17412151610230853,0.011006761235598536,1
50,1,0,-0.3609155586729617,-0.005413043553096672,4.48086552179007,1,1,0,0.24645000458443755,-0.3609155586729617,4.48086552179007,0
51,1,0,-0.2785545979614844,-0.3737069391678295,1.6593943455744358,1,1,0,-2.018942626604928,-0.2785545979614844,1.6593943455744358,0
52,1,1,-0.30160312012842216,0.0034957640093801383,-1.0416825356313832,0,1,1,-0.13593916740583775,-0.30160312012842216,-1.0416825356313832,1
53,1,0,-0.19266514174100927,-0.00983585581815608,0.393094678921756,1,1,0,1.2757454574776426,-0.19266514174100927,0.393094678921756,0
54,1,1,1.763032579244041,0.001789822135714366,0.9583089944664328,0,1,1,1.564057610003998,1.763032579244041,0.9583089944664328,1
55,1,0,-0.25794644775802406,-0.10385220796684753,0.29525393999478683,1,1,0,2.480735670242187,-0.25794644775802406,0.29525393999478683,0
56,1,1,-0.14050752491414692,0.24283309058145217,0.057011931060442576,0,1,1,-0.6567428382848947,-0.14050752491414692,0.057011931060442576,1
57,0,0,-0.39407171697927634,-0.010720418271167962,-0.06957523184227522,1,0,0,-0.9604637747951625,-0.39407171697927634,-0.06957523184227522,0
58,1,1,0.28321263494602184,0.0009052596827024844,-0.16545124853617776,0,1,1,0.3609649694068759,0.28321263494602184,-0.16545124853617776,1
59,1,0,1.0434245539410467,-0.013942752921425532,-0.05031367199919239,1,1,0,-0.08946386224326543,1.0434245539410467,-0.05031367199919239,0
60,1,0,0.0011383467155080432,-0.0005479500615313214,0.5116266622459746,0,1,0,0.16299283726405286,0.0011383467155080432,0.5116266622459746,1
61,1,0,-0.3249879382887882,-0.004591664132442782,1.030688341034413,1,1,0,-0.1572565400686461,-0.3249879382887882,1.030688341034413,0
62,1,0,0.6700269527674829,-0.0033911865176409414,-1.2115389509855683,1,1,0,-0.5810446125501038,0.6700269527674829,-1.2115389509855683,0
63,1,0,-0.26074687879852,-0.9999771559002417,0.8005410086229727,1,1,0,1.1743808368291986,-0.26074687879852,0.8005410086229727,0
64,1,1,0.3514702339940618,0.0013475409092084255,0.9372191021926423,0,1,1,1.309857662212618,0.3514702339940618,0.9372191021926423,1
65,1,1,-0.15340268644487112,0.002484835491652274,-0.514444589779395,0,1,1,0.10462595461762222,-0.15340268644487112,-0.514444589779395,1
66,1,0,-0.23510788656349538,-0.013626837759635572,-1.0212072280033537,0,1,0,-0.05364068189688588,-0.23510788656349538,-1.0212072280033537,0
67,1,0,-0.08146271975797675,-0.02670572545773983,0.01887408409748098,0,1,0,0.37392570543847775,-0.08146271975797675,0.01887408409748098,1
68,1,1,0.06785863735383187,0.0005893445209125267,0.1034422296107588,0,1,1,-2.0684018830015733,0.06785863735383187,0.1034422296107588,1
69,1,1,-0.2912338719726152,0.0007157105856285097,-0.08715405601255774,1,1,1,0.8661141835606158,-0.2912338719726152,-0.08715405601255774,0
70,1,1,-0.2883735590993687,0.002484835491652274,-0.3937481879502596,0,1,1,0.11116365696529742,-0.2883735590993687,-0.3937481879502596,1
71,1,0,-0.22367088321953102,-0.03043352436686133,0.008643388384795067,0,1,0,1.3289621429332221,-0.22367088321953102,0.008643388384795067,0
72,0,0,-0.4075042693612501,-0.0025698070969870515,0.6653974038302952,0,0,0,0.32390907511399275,-0.4075042693612501,0.6653974038302952,1
73,0,1,0.13448186537298942,0.0035589470417381297,-0.1756205441717145,1,0,1,0.7509852822730875,0.13448186537298942,-0.1756205441717145,0
74,1,1,-0.25525866852640805,0.017838312354644226,0.5820011727568458,1,1,1,-1.370395527272895,-0.25525866852640805,0.5820011727568458,0
75,1,1,-0.2238217494046556,0.0007157105856285097,-0.5298464732891961,0,1,1,0.37707656262827477,-0.2238217494046556,-0.5298464732891961,0
76,1,1,0.12240232000701201,0.000399795423838552,1.3206834084528427,0,1,1,0.09667653780540446,0.12240232000701201,1.3206834084528427,1
77,1,0,-0.050888867108347814,-0.002064342838123119,0.7059540484439256,1,1,0,0.11723708102620474,-0.050888867108347814,0.7059540484439256,0
78,0,0,-0.33677689319322296,-0.0048443962618747475,-1.0717150741825945,1,0,0,-0.7031732463438294,-0.33677689319322296,-1.0717150741825945,0
79,1,0,-0.28970874854391004,-0.01103633343295792,1.2972378827203555,0,1,0,-0.11799646756249674,-0.28970874854391004,1.2972378827203555,0
80,1,0,-0.16559107166457954,-0.000611133093889313,2.1068121903827715,1,1,0,-0.11839387929637209,-0.16559107166457954,2.1068121903827715,0
81,1,1,0.7878608396806756,0.0023584694269362903,-1.4507070734102456,0,1,1,-1.960227797903613,0.7878608396806756,-1.4507070734102456,1
82,0,1,-0.42590898621642537,0.005264888915403902,0.8656470698481813,0,0,1,-1.5914618479933627,-0.42590898621642537,0.8656470698481813,1
83,1,1,0.663235765020086,0.004885790721255953,-0.32640962304275456,1,1,1,0.4364097270271289,0.663235765020086,-0.32640962304275456,0
84,1,0,-0.22812790272899403,-0.0021907089028391025,-0.43694884473714507,0,1,0,-0.2823451999499717,-0.22812790272899403,-0.43694884473714507,1
85,0,0,-0.404765180454731,-0.0026961731617030347,-0.06582261778038934,1,0,0,0.07414518501023229,-0.404765180454731,-0.06582261778038934,0
87,1,0,-0.3261543207045685,-0.005286677488380688,-0.3010914707558663,1,1,0,-0.9312282862985651,-0.3261543207045685,-0.3010914707558663,0
88,1,1,-0.3159262191965038,0.007286745950859631,-1.1287576847449154,0,1,1,1.7216287902408662,-0.3159262191965038,-1.1287576847449154,1
89,1,1,-0.3276875137199199,0.010951361827623143,-0.5751622018392225,1,1,1,0.413611823592726,-0.3276875137199199,-0.5751622018392225,0
90,1,0,-0.29296146521808847,-0.005413043553096672,-0.5074220453150452,1,1,0,1.3162374330481124,-0.29296146521808847,-0.5074220453150452,0
91,1,1,0.03012459590539563,0.0027375676210842394,-0.7428523672148554,1,1,1,1.9507640015759964,0.03012459590539563,-0.7428523672148554,0
92,0,0,-0.29872502761362263,-0.001748427676333161,-0.7465039041831082,0,0,0,-0.734559468368311,-0.29872502761362263,-0.7465039041831082,1
93,1,1,-0.23938636054186407,0.0016002730386403918,-0.21717057810126802,1,1,1,1.0389312962415884,-0.23938636054186407,-0.21717057810126802,0
94,1,0,-0.26712695382083357,-0.5308431406421545,2.975754074982624,0,1,0,-1.1322003266222116,-0.26712695382083357,2.975754074982624,0
95,0,1,-0.42635670129691927,0.00021024632676457734,-0.5296968024673065,0,0,1,0.7902979340687742,-0.42635670129691927,-0.5296968024673065,1
96,1,0,-0.3838369208435122,-0.002632990129345043,-0.784399116599595,0,1,0,0.7972092643549541,-0.3838369208435122,-0.784399116599595,1
97,0,1,-0.4006415742661458,0.0016002730386403918,-1.2856586036915933,0,0,1,-0.910660070233995,-0.4006415742661458,-1.2856586036915933,1
98,0,1,-0.29666095820768673,-0.00023203489974136363,-0.3565533847184871,0,0,1,-0.9312282862985651,-0.29666095820768673,-0.3565533847184871,1
99,1,1,-0.2690837005691177,0.0012211748444924423,0.7999747887000372,1,1,1,-0.6308121786605494,-0.2690837005691177,0.7999747887000372,0
100,1,1,0.1404271025165313,0.005833536206625826,-0.5310153378222452,0,1,1,0.688345240363848,0.1404271025165313,-0.5310153378222452,1
101,0,0,-0.32373055255568284,-0.001495695546901195,2.078054998370541,0,0,0,0.5573340055861995,-0.32373055255568284,2.078054998370541,0
102,1,0,-0.2078303794577971,-0.0021275258704811107,1.7539946901484766,1,1,0,0.512616090575344,-0.2078303794577971,1.7539946901484766,0
103,1,0,-0.2605271413938756,-0.08875146323328754,2.4083719819459892,0,1,0,-0.634926816636421,-0.2605271413938756,2.4083719819459892,1
104,1,1,-0.2945049467193518,0.0014107239415664169,-0.6767447773100996,0,1,1,0.23925704040538998,-0.2945049467193518,-0.6767447773100996,0
105,1,0,-0.12958106753330592,-0.004338932003010815,0.2865158588653705,0,1,0,1.3841486445349225,-0.12958106753330592,0.2865158588653705,1
106,1,1,-0.3115366106053344,0.0031166658152321893,-0.8260107331033005,0,1,1,-0.5219462657883127,-0.3115366106053344,-0.8260107331033005,0
107,1,0,-0.2461911177116943,-0.007182168459120436,0.24586158484249934,1,1,0,-5.0952824178741105,-0.2461911177116943,0.24586158484249934,0
108,1,0,-0.10806841243980911,-0.00332800348528295,-9.564708495760412e-05,1,1,0,1.4447062020989379,-0.10806841243980911,-9.564708495760412e-05,0
109,1,0,-0.23117965730000803,-0.00332800348528295,-1.2433211489076024,1,1,0,1.0161268545322726,-0.23117965730000803,-1.2433211489076024,0
110,1,0,-0.2911192667737833,-0.0011165973527532457,-1.3998192915451586,0,1,0,-0.9604637747951625,-0.2911192667737833,-1.3998192915451586,0
111,1,0,2.8450948979808035,-0.003201637420566967,3.8805212039138746,1,1,0,1.6092182197279732,2.8450948979808035,3.8805212039138746,0
112,1,0,0.6604414975886617,-0.006297606006108554,-0.1842480311515213,0,1,0,-0.14935338717663674,0.6604414975886617,-0.1842480311515213,1
113,0,0,-0.3927840916318176,-0.0004215839968153383,0.5717589910249451,1,0,0,0.06486067880679855,-0.3927840916318176,0.5717589910249451,0
114,1,0,1.0308628436611023,-0.011541797691821853,-0.8278665690073067,1,1,0,-1.97849621884014,1.0308628436611023,-0.8278665690073067,0
116,0,0,-0.2863137757723565,-0.007498083620910394,0.4554407130749567,1,0,0,1.2164546070695446,-0.2863137757723565,0.4554407130749567,0
117,1,1,-0.30657134937429326,0.00021024632676457734,0.14740793816681017,0,1,1,0.7966599688775302,-0.30657134937429326,0.14740793816681017,1
118,1,0,-0.25114284745020415,-0.07876854412072488,0.09509850514157935,1,1,0,1.2099562465506264,-0.25114284745020415,0.09509850514157935,0
119,1,1,0.047764626971707455,0.0011327185991912541,-0.9099688090701162,0,1,1,-0.5457142977142388,0.047764626971707455,-0.9099688090701162,0
120,1,1,-0.08315492440490285,0.009687701180463311,1.603909523620494,0,1,1,1.0291346047595467,-0.08315492440490285,1.603909523620494,1
121,1,0,-0.22615285480300468,-0.23988527663360334,-0.02897455701260769,0,1,0,-0.6325061314167799,-0.22615285480300468,-0.02897455701260769,1
122,1,1,-0.2778003618606164,0.004569875559465995,0.12280818854358086,0,1,1,-1.3993361811283125,-0.2778003618606164,0.12280818854358086,0
124,1,1,-0.28989394129032636,0.0012211748444924423,0.5576895187460486,0,1,1,-0.3042873887170095,-0.28989394129032636,0.5576895187460486,1
125,1,1,-0.17505458220853573,0.012215022474782974,2.2952408969522544,1,1,1,1.4932154526620702,-0.17505458220853573,2.2952408969522544,0
126,1,1,-0.28295594585731665,0.0016634560709983834,-1.4315164449293183,1,1,1,-0.4911585811660695,-0.28295594585731665,-1.4315164449293183,0
127,1,1,-0.22744903334335986,0.00021024632676457734,-1.248812623443333,1,1,1,-0.8934840770703417,-0.22744903334335986,-1.248812623443333,0
128,1,0,0.7904817579775766,-0.018934212477706866,0.2902124324120723,0,1,0,-1.5982773605429945,0.7904817579775766,0.2902124324120723,1
129,1,0,-0.1924140647548541,-0.003201637420566967,-0.2629042776024287,0,1,0,1.1140266671932995,-0.1924140647548541,-0.2629042776024287,1
130,1,1,-0.18762779473125554,0.0010948087797764592,1.1990441729855437,1,1,1,0.7966599688775302,-0.18762779473125554,1.1990441729855437,0
131,1,0,-0.19226043916936045,-0.011731346788895827,-1.108249420902804,1,1,0,1.5670832795418368,-0.19226043916936045,-1.108249420902804,0
132,0,0,-0.3172588104427596,-0.0012429634174692286,0.23577970153032382,1,0,0,0.2751514278156656,-0.3172588104427596,0.23577970153032382,0
133,1,0,-0.22082294497680538,-0.9724925368245154,0.5997700006828582,1,1,0,0.1762168958055727,-0.22082294497680538,0.5997700006828582,0
134,1,1,0.2658615633554675,0.0004629784561965436,0.3264482681628336,0,1,1,0.02198604736502345,0.2658615633554675,0.3264482681628336,1
135,1,0,-0.23860195120397115,-0.012363177112475743,-0.7294103434405693,0,1,0,-0.41263137332349753,-0.23860195120397115,-0.7294103434405693,1
136,1,0,-0.3076601461755739,-0.002632990129345043,-0.016693679171169377,0,1,0,0.03553155613990456,-0.3076601461755739,-0.016693679171169377,1
137,0,1,-0.2612499051585759,0.000399795423838552,0.49442144861089865,0,0,1,-0.326616259444391,-0.2612499051585759,0.49442144861089865,1
138,1,0,-0.1732901969581421,-0.007687632717984367,2.6095996694013652,0,1,0,0.9194924836590257,-0.1732901969581421,2.6095996694013652,1
139,1,0,-0.25906810133689473,-0.007561266653268384,2.037826614478114,1,1,0,1.8681046813386641,-0.25906810133689473,2.037826614478114,0
140,1,1,-0.32186080752006485,0.006212634400773776,-0.7811943337893033,0,1,1,-0.42005838618216323,-0.32186080752006485,-0.7811943337893033,1
141,1,1,-0.25108470091046914,0.0013475409092084255,1.1758816981766116,0,1,1,1.1110625765214208,-0.25108470091046914,1.1758816981766116,1
142,1,1,0.1948253998554229,0.006907647756711682,0.2728623370786228,0,1,1,0.05020534741585613,0.1948253998554229,0.2728623370786228,1
143,0,0,-0.38416841870434004,-0.04983071530076474,-0.08600296623043868,1,0,0,-0.6664472903404984,-0.38416841870434004,-0.08600296623043868,0
144,1,0,-0.24152268641107147,-0.0032648204529249583,-0.08079071149853993,1,1,0,-0.5576074993183412,-0.24152268641107147,-0.08079071149853993,0
145,1,1,-0.2150684004154669,0.002295286394578299,0.2557118338662774,0,1,1,-0.12415376649990123,-0.2150684004154669,0.2557118338662774,1
146,1,1,-0.3197086553992564,0.001979371232788341,0.3965432399223362,1,1,1,-0.21689679886593924,-0.3197086553992564,0.3965432399223362,0
147,1,1,-0.11085588093630346,0.0012211748444924423,0.13325275527404118,0,1,1,-0.6729337266503965,-0.11085588093630346,0.13325275527404118,1
148,1,1,-0.3457581060685552,0.0010948087797764592,0.48176186692217216,1,1,1,1.2757454574776426,-0.3457581060685552,0.48176186692217216,0
149,0,0,-0.3732732250452059,-0.026200261198875894,1.949889188232326,1,0,0,0.5810700490474566,-0.3732732250452059,1.949889188232326,0
150,1,0,-0.37104207442104903,-0.0016852446439751694,-0.7921919062564118,0,1,0,1.089783730999675,-0.37104207442104903,-0.7921919062564118,1
151,1,1,-0.21518441850314757,0.0007788936179865014,-0.7656135880185581,0,1,1,0.295302275745808,-0.21518441850314757,-0.7656135880185581,1
152,1,1,-0.1573768772670825,0.005075339818329927,0.32153338097130174,1,1,1,0.7164570460054727,-0.1573768772670825,0.32153338097130174,0
153,1,0,-0.21693524381358342,-0.0022538919351970934,-0.94879758265664,0,1,0,1.302100032473297,-0.21693524381358342,-0.94879758265664,1
154,0,1,-0.408998944561141,0.00400122826824407,-1.495392521815569,0,0,1,1.4143097971230931,-0.408998944561141,-1.495392521815569,0
155,1,1,-0.3600292316884491,0.0034957640093801383,0.45793713148670095,0,1,1,1.0311755169027146,-0.3600292316884491,0.45793713148670095,1
156,1,1,-0.31267611020308655,0.0014107239415664169,0.5946035322277132,1,1,1,-1.0539280196101088,-0.31267611020308655,0.5946035322277132,0
157,1,1,0.31461372927535436,0.01360504918665879,-1.2596855585495845,0,1,1,-0.1888630855405666,0.31461372927535436,-1.2596855585495845,0
