,C2,C3`,C1,C4,C5,C6,C3_impute,C7_impute,C5`,T1prime,T2prime,T3prime,T4prime,T5prime,S1prime,S2prime,S3prime,I3_bin,Y1
0,1,1,-0.1924917815867987,0.6599362425721982,-0.08726772919944308,-0.07339449213188459,0.2193999757670468,-0.40701983001258285,-0.14168904002512658,0.17108483584774326,0.2954571631055638,0.5981959385150102,-0.26781115978454556,0.2954571631055638,-0.2538180846174866,0.058024331942372054,-0.2045877143933378,2,-1.0
1,0,0,1.0288577036267812,-0.6311349127856827,-0.3076804027999009,-0.7207140381261048,0.03744824559369422,-0.4366204135916367,3.4009766122198273,0.23349830746011865,-0.11894930180714304,0.18883756513110433,-0.3252457623234532,-0.11894930180714304,-1.2030350023641696,0.7166214918048261,-0.22456440852712237,2,1.0
2,1,0,-0.47777049346150346,0.4055536482488534,-0.5268294568025257,-0.5154663772011081,0.05113966291366927,-0.45823982521980317,-0.3565668047370941,0.11903047709001638,1.3863040776168776,0.6172914479765165,-0.2193122293175366,1.3863040776168776,3.079120493551906,-0.9534429260194303,-0.025874578071061374,2,1.0
3,1,0,0.5831097163225549,0.38449938505698944,-0.5632287112030574,-0.554937081225146,0.06302957795470022,-0.45690244594676,-0.38669610251542624,-1.2824319539195288,1.3668723660751647,0.9281805001543783,1.3303096355554727,1.3668723660751647,2.5716621749175914,-0.6520394326777407,0.6966658190594611,2,1.0
4,1,1,-0.5669200909223487,-1.2867158634073368,-0.2735505711397596,-0.25890680104486236,0.09833902262200428,0.26976980484129137,-0.20160178394111486,-0.5934170555660341,-0.5319375216963654,-0.22466601365564087,0.5043790449531308,-0.5319375216963654,-0.4632878019772457,0.3511434956802481,-0.07924649125505114,2,-1.0
5,1,1,-0.4421106544771654,-1.9763285103938655,-0.06100555535608878,-0.32542227887631453,0.09797872216621548,-0.23664842830049992,0.6654079856740901,0.2101907065377392,-1.0066497706187008,-3.2907976208460497,-0.3038878979904601,-1.0066497706187008,-1.0934877565219498,-1.2774454927430727,-0.5335334714098189,3,-1.0
6,1,0,-0.13900202311029156,-0.09989253790190661,-0.48670607150123196,-0.4759956731770703,0.02844073419897379,-0.46084002603638186,-0.31579590306071464,1.977046814719639,-1.1496948472617843,-0.34620972752657153,-1.6672810675678573,-1.1496948472617843,-0.06056610511975311,-0.7961104441836079,-1.0949759538098567,2,1.0
7,0,0,-0.46885553371541894,1.0112861042060335,-0.480787356627514,-0.2786421530568812,0.06915468570311012,-0.34164551584414776,-0.7677695731460445,2.8522705124883645,0.5281627756352698,0.07002239366089152,-2.1929109561007523,0.5281627756352698,-0.23928861264158616,0.5730543180785411,-0.2275513820394029,2,1.0
8,1,0,-0.38862089600065824,-1.1169470935023162,0.13182520484094817,-0.04181792891265433,0.0774415961862529,-0.14111085268813303,0.2715017471713378,-1.2725040140129233,1.4068455973499565,0.597685935954117,1.3173717230490842,1.4068455973499565,-0.8170094338435986,-0.22799310507248857,1.631046943442129,3,1.0
9,1,1,-0.3351311375241511,-0.9833283304152055,-0.22103996637332518,-0.04181792891265433,0.14950168734401628,0.10866686087862612,-0.492175208018622,-1.6479827535011453,-0.28491290701465505,-0.2612127459333872,1.8308066199543924,-0.28491290701465505,2.091078089112787,0.2841468386710252,1.7429482936923786,2,1.0
11,1,0,-0.3975358557467428,0.2464627339170225,-0.5089466549492961,-0.35758356110495687,-5.747207188711449,-0.4664621448270668,-0.7134364182239187,-1.1984957347091307,2.076368296695035,0.17618453675968565,1.2219546183144687,2.076368296695035,-0.17409474040216044,-0.6728048655458648,0.23484805139102333,2,1.0
12,1,1,-0.15683194260246058,0.37561183438131673,-0.5442510141723897,-0.6141431372612027,0.10554503173778063,-0.4359645385648742,0.020136730147837463,0.8061945493450607,-1.020494571142859,-1.1370941001857868,-0.8183473020746347,-1.020494571142859,-0.9648874551394858,-0.5283388392436195,0.9371979074082116,2,-1.0
13,1,0,-0.03202250615727725,-0.4170199085954917,-0.5730415754925471,-0.6180902076636065,0.016911119613731655,-0.4667487260998618,-0.1402602693720376,-1.0566804192849666,2.3986629244242623,1.4970527638931652,1.0440433191339726,2.3986629244242623,1.3870495648132808,0.7398169415337842,0.6012356206984016,2,-1.0
14,1,1,3.0703834854801375,0.48344787180649623,0.07792924444947777,0.17527094321955367,0.10230232763568128,-0.2724070143510749,-0.23980725298953406,-0.2824738454508324,-0.4979407431910423,-0.4061166416676812,0.1740882786499697,-0.4979407431910423,-0.027812343338159247,1.6267213902501967,-0.8446680994447268,2,1.0
15,1,1,0.7970687502285836,-2.8253134570557434,0.8068177745413164,-0.12075933696072996,0.10194202717989245,0.12752064672786886,2.08741297187832,1.0991167354955005,-2.3868163229782837,-0.972812519222837,-1.0490780899816614,-2.3868163229782837,0.05577178555656343,-1.368150286316882,-1.103786238264074,3,1.0
16,1,1,-0.1657469023485451,-0.2170729525634651,-0.3903596156109584,0.021335197525806177,0.1069862335609359,0.1985834826648316,-0.9236945379830623,-1.5591436215341974,-0.024643617579562325,-0.5304422768890013,1.7046872767575516,-0.024643617579562325,0.15816621181403678,-1.3541852869446735,0.522262541684002,2,-1.0
17,1,1,-0.5936649701606023,-0.4170199085954917,-0.41305989427418743,-0.12075933696072996,0.10086112581252601,-0.04341110292004487,-0.8166755973658979,0.045449051952060476,0.1516754179987308,-1.8994145843362125,-0.14981112627102616,0.1516754179987308,0.6179960533622922,0.9689727865224763,0.10403167518762965,2,1.0
18,1,1,-0.4599405739693344,0.8959764893826198,0.32114676320336727,-0.2549597306424585,0.138332373214563,-0.26847642404859434,1.4943926939486774,-0.24255546036847517,-1.9626837566466826,1.0356228079993621,0.13337247915949807,-1.9626837566466826,-0.770159749020074,-1.2030400166533064,-1.0612939485008404,2,1.0
19,1,1,0.5652797968303859,-0.6110731388836887,-0.4867259203608852,-0.5154663772011081,0.11851584814617803,-0.31247713410333344,-0.16562270477742613,-1.544170566055528,-2.2498392351942287,-0.8868403302806174,1.6837243948391303,-2.2498392351942287,-0.5028288267429125,-0.8137128303797487,-1.3885658689639078,2,-1.0
20,1,0,0.2710861252095966,1.1525677140049193,-0.2679123467171012,-0.3931071947265909,0.044293954253681746,-0.34164551584414776,0.23853665176541664,-0.039934232783977015,0.49849726009965994,0.4713819790601515,-0.06774202029442197,0.49849726009965994,-0.3080369099499206,0.28451411639332796,0.6471388759639322,2,1.0
21,1,1,-0.5847500104145178,1.419673326137362,-0.010003573283409216,-0.10497105535111484,0.1199570499693333,1.5224165482280816,0.10439863913814074,-0.4509351894959583,-0.7347318132563232,-1.0709346568846698,0.3500716527932755,-0.7347318132563232,-0.7780444242727634,-1.3583238930877024,-2.0073176404752604,2,-1.0
22,1,0,-0.6738996078753631,-0.1473616723251134,-0.6170645235349725,-0.5944077852491838,0.06483108023364431,-0.39157123546569655,-0.5281331070368465,-1.3629585776064468,-0.7734124926755535,0.0984827765644057,1.4364830081540398,-0.7734124926755535,-0.5238831758015874,1.771262596879207,1.2424553322419094,3,-1.0
23,1,0,-0.46885553371541894,0.8654520639008012,-0.482398923636532,-0.5154663772011081,-0.972113631526571,-0.46662989971845903,-0.14502066893795892,-0.3421142170509573,0.9529467814271534,0.8408200272321622,0.23561437565779347,0.9529467814271534,2.096972458604271,-1.0576791051540566,1.4462801542057395,2,1.0
24,1,0,-0.3797059362545737,-0.2779618948812363,-0.45107434279399516,-0.35758356110495687,0.045735156076837015,-0.46231487112320474,-0.5166177131282857,1.0247274475923098,0.40347532545240294,-0.12492521521343034,-0.9917518441698169,0.40347532545240294,1.184893671311375,-1.0715510975061584,-0.24826372633560148,2,-1.0
25,1,0,-0.6025799299066869,-0.3452714574031109,-0.42110168983672935,-0.4759956731770703,-0.595959955683046,-0.46423706258707337,-0.03183161004612067,-0.37848563285883335,0.8187906054852101,0.16818060334758037,0.273550538836897,0.8187906054852101,-0.4164106713475525,0.6304824602983284,1.4052016756898684,2,1.0
26,1,1,3.0703834854801375,-1.3542974229022033,-0.3616265412543882,-0.4365249691530325,0.10950833675145762,-0.3564673594773605,0.05526305994358568,0.674742166752914,0.7544142634282653,1.4302195995998583,-0.7102923127059997,0.7544142634282653,0.832033202317248,-0.8737118513253342,2.2775069353735735,2,1.0
27,1,0,-0.9235184807657297,0.5591918069027975,0.4759879543052308,1.4580688240007829,0.08104460074414108,-0.06454705427093525,-0.7790397832405196,0.07519297129227706,0.2464202272006479,-3.2907976208460497,-0.1780404034204438,0.2464202272006479,-1.3161503027542714,1.0472230392506345,-0.12904573787219106,2,-1.0
28,1,1,-0.27272641930155944,0.8598114114821511,-0.09745236317703856,-0.22363420110082116,0.11383194222092342,0.032371004301846404,0.19737307767519977,0.7444896234336779,-0.5272452093663808,-0.0642560757598515,-0.7679859833756468,-0.5272452093663808,0.8548157534877724,-0.054715070788809814,-0.571826337719549,2,1.0
29,1,0,-0.6114948896527713,-0.7101234345051033,-0.34878101180212095,0.03712347913542131,0.06230897704312258,-0.44511649986193624,-0.8561211338204127,0.9908480882118587,-0.0688922870586781,0.7365139427809662,-0.9653624480752199,-0.0688922870586781,1.882701903637081,-0.20746171002234115,0.7233355924033628,2,1.0
30,1,1,-0.9056885612735607,-1.3542974229022033,-0.18380751553447508,-0.1997007450088056,0.10374352945883655,-0.16737381290719683,-0.0989567873735146,0.36654340944126645,-0.001627622491142505,0.04595547717514807,-0.4451401480805589,-0.001627622491142505,-0.31058930582702854,-1.3471676526848895,-0.5664790782873287,2,1.0
31,1,0,-0.5312602519380106,-1.2736434393324085,0.1794413797345218,-0.21600940838027366,0.07816219709783055,-0.39805659296833706,0.9248651246829498,0.7564649292150416,-0.6599030666073166,-1.6622659052786797,-0.7778092836235542,-0.6599030666073166,-0.5551383631000165,-1.0190640467700882,-1.7774019467334397,3,-1.0
32,0,1,-0.5401752116840951,0.4055536482488534,-0.630642601672569,-0.7562376717477388,0.10050082535673718,-0.4220606869762242,0.6626113139631068,-1.3937516205319025,0.21223111291287367,-0.5634622212715846,1.4776724590032364,0.21223111291287367,0.7415721852800764,-0.8503524211626162,0.6290601222380797,2,1.0
33,1,0,2.3928465447777136,2.364765557316138,0.9556352468388262,1.3144350109987173,-0.22989469260160794,-0.38700573949787753,-0.3067302612990714,-0.8854201992321057,0.5393310462437175,1.136928563851027,0.8374165120155699,0.5393310462437175,-0.21837992392113906,0.7290692814682617,1.1442075211487028,2,-1.0
34,1,0,-1.0215830379726596,0.27554092660413193,-0.43128851101649046,-0.5086786002300944,0.09509631851990494,-0.2512279593128129,0.0659242536782202,1.1194130542075944,0.4824096386321155,0.6173668826476522,-1.0645735192310817,0.4824096386321155,-0.41862540361174577,0.167606582406686,0.6237853110818098,2,-1.0
35,1,1,-0.4421106544771654,-0.6016496787042606,-0.5231275442304296,-0.5401355672161318,0.10122142626831482,-0.4201839291287743,-0.2403055034201855,-0.6642616842490379,0.2264270428505146,0.21043767340202574,0.5830519814004728,0.2264270428505146,-0.39310244439841213,-0.7680035723072262,-0.6793208587504399,3,-1.0
36,1,0,-0.09442722437986892,1.4937652838210922,0.19971940490603585,-0.004358020434417097,0.09581691943148257,-0.42475641488373456,0.3259322574814634,0.03101971660266494,0.7095776219648049,0.6859891238215364,-0.13605006360414207,0.7095776219648049,-0.7240013137448215,0.37518506787580186,0.18056768437528417,2,-1.0
37,1,0,-0.5045153726997571,0.2692165121963913,0.11778961869035251,0.3528891113277238,0.07275769026099828,-0.4052118050720227,-0.4024988856539738,0.3658017988434036,-0.739212519334115,0.17831043367196797,-0.444481217342853,-0.739212519334115,-0.12355226891092744,-0.8175895077882571,-1.2801754356794774,2,-1.0
38,1,1,0.14627668876441324,0.8970748314341523,-0.3931281761122341,-0.3942593445770526,0.14625898324191694,0.1389070099811127,-0.21299084117850026,-0.7343515305217243,-1.1638485241130867,-0.27143722158354333,0.6622035845487334,-1.1638485241130867,-0.4601971417625831,-0.44120210902564,1.7656954541002288,3,-1.0
39,1,1,-0.5847500104145178,1.5095947271551335,-0.3762578848215366,-0.4167896171410136,0.09725812125463784,-0.4294768511331866,-0.07541749979570925,0.28894222700992694,0.2925545892829824,-0.8674401695362167,-0.3756239047205458,0.2925545892829824,-0.4367844202229875,-1.4224302775240378,-0.8621727447890113,3,-1.0
